id,date,title,slug,excerpt,content_length
2134,2016-12-13 18:34:57,New eBook Release!,new-ebook-release,,1136
2136,2016-12-13 18:44:55,Join the Virtual Tours of IHOMCLE,what-is-an-international-habits-of-mind-community-of-excellence,,1226
2270,2016-12-20 14:43:25,Leading Personalizing Learning: ASCD CEL 2016 Reflection,leading-personalizing-learning-ascd-cel-2016-reflection,,6115
2305,2017-01-02 01:51:10,Save the Date!,save-the-date,,436
2316,2017-01-06 18:12:35,"January 17th, 2016 - Webinar: Personalized Learning with Habits of Mind",webinar-personalized-learning-habits-mind,,2608
2329,2017-01-09 15:32:11,Introduction to Habits of Mind by South Fayette Middle School,introduction-habits-mind-south-fayette-middle-school,,2308
2358,2017-01-24 13:15:01,Allison Zmuda and Bena Kallick webinar on their new book Students at the Center: Personalized Learning with Habits of Mind,allison-zmuda-bena-kallick-webinar-new-book-students-center-personalized-learning-habits-mind,,2743
2407,2017-02-07 02:26:03,Join a virtual tour of Montecito Union Public Schools!,join-virtual-tour-montecito-union-public-schools,,140
2433,2017-03-02 12:12:08,Join a Virtual Tour of Parkwood Elementary,join-virtual-tour-parkwood-elementary,,215
2483,2017-04-02 13:22:39,Join a Virtual Tour of Furr High School!,join-virtual-tour-furr-high-school,,204
2518,2017-05-03 16:46:52,Join a Virtual Tour of Todd Elementary School,join-virtual-tour-todd-elementary-school,,257
2581,2017-06-08 02:18:25,Join a Virtual Tour of Coal Creek Elementary School!,join-virtual-tour-coal-creek-elementary-school,,270
2642,2017-06-28 11:07:24,"New Blog Post! ""Writing with the Habits of Mind""",new-blog-post-writing-habits-mind,,1708
2654,2017-07-17 12:44:40,Join a Virtual Tour of South Fayette Middle School!,southfayettemiddleschool,,152
2712,2017-09-26 13:01:05,Join a Virtual Tour of South Fayette Elementary School!,join-virtual-tour-south-fayette-elementary-school,,238
2728,2017-10-10 23:58:49,New Blog Post: Dr. Bena Kallick on Using Animation to Teach Habits like ‘Persisting’,new-blog-post-dr-bena-kallick-using-animation-teach-habits-like-persisting,,1005
